person_id,age,wait_time_minutes,case_duration_days,charge_level,detained
P053,30,17.4,37.2,Felony,No
P054,18,20.9,31.8,Misdemeanor,Yes
P055,49,39.6,45.2,Felony,No
P056,25,6.5,51.4,Felony,Yes
P057,34,29.8,30.9,Felony,Yes
P058,33,32.7,42.9,Felony,Yes
P059,43,23.4,19.4,Felony,No
P060,43,3.1,42.9,Misdemeanor,No
P061,32,13.5,49.1,Misdemeanor,Yes
P062,38,26.9,21.5,Felony,Yes
P063,30,23.2,17.2,Misdemeanor,Yes
P064,22,16.7,41.0,Misdemeanor,No
P065,40,19.5,9.0,Misdemeanor,Yes
P066,18,55.1,15.3,Misdemeanor,Yes
P067,22,34.9,24.7,Felony,No
P068,30,5.9,44.9,Misdemeanor,No
P069,41,19.1,35.1,Felony,No
P070,29,26.3,14.9,Misdemeanor,No
P071,38,4.6,12.1,Felony,Yes
P072,39,26.3,48.7,Misdemeanor,No
P073,53,36.6,49.4,Felony,Yes
P074,49,24.6,45.5,Misdemeanor,Yes
P075,27,37.3,36.4,Misdemeanor,No
P076,24,4.7,23.9,Misdemeanor,No
P077,32,13.8,52.9,Felony,Yes
P078,46,26.4,45.1,Misdemeanor,No
P079,24,36.0,103.6,Felony,No
P080,66,40.2,49.1,Felony,No
P081,46,7.1,28.9,Felony,Yes
P082,30,13.6,55.2,Misdemeanor,Yes
P083,28,33.5,61.9,Misdemeanor,Yes
P084,18,2.9,164.7,Felony,Yes
P085,21,16.3,16.9,Felony,No
P086,37,15.5,33.1,Misdemeanor,No
P087,33,2.9,68.5,Misdemeanor,No
P088,22,39.1,16.7,Misdemeanor,No
P089,21,24.6,43.6,Misdemeanor,No
P090,33,13.9,36.3,Misdemeanor,No
P091,39,11.1,75.3,Misdemeanor,No
P092,50,21.0,41.6,Misdemeanor,Yes
P093,33,4.4,15.8,Misdemeanor,No
P094,42,10.8,22.9,Misdemeanor,No
P095,28,72.8,23.3,Misdemeanor,No
P096,19,8.3,98.0,Misdemeanor,No
P097,55,18.8,18.5,Misdemeanor,No
P098,38,16.6,15.7,Misdemeanor,No
P099,56,12.1,9.9,Misdemeanor,No
P100,34,20.1,50.6,Misdemeanor,No
P101,30,21.7,38.5,Felony,Yes
P102,21,8.0,19.9,Misdemeanor,No
P103,35,15.3,12.7,Felony,No
P104,40,2.8,15.8,Misdemeanor,No
P105,24,3.6,84.5,Felony,No
P106,21,28.3,51.8,Felony,No
P107,20,18.7,47.3,Misdemeanor,Yes
P108,37,11.9,98.2,Misdemeanor,No
P109,44,43.1,151.7,Felony,No
P110,32,2.5,49.1,Misdemeanor,No
P111,52,21.8,31.4,Misdemeanor,No
P112,34,9.6,61.4,Misdemeanor,No
P113,22,1.2,136.1,Felony,Yes
P114,31,15.9,77.0,Misdemeanor,No
P115,34,9.9,41.1,Misdemeanor,No
P116,29,12.7,68.3,Misdemeanor,Yes
P117,46,30.7,6.5,Felony,Yes
P118,18,31.0,4.6,Felony,No
P119,42,21.5,42.1,Misdemeanor,Yes
P120,20,7.8,85.1,Misdemeanor,No
P121,26,15.6,34.0,Felony,No
P122,35,17.7,18.8,Misdemeanor,No
P123,50,10.4,2.0,Felony,Yes
P124,18,11.1,74.1,Misdemeanor,No
P125,39,36.1,42.5,Misdemeanor,No
P126,42,59.8,11.2,Misdemeanor,No
P127,50,12.1,19.4,Felony,No
P128,24,28.5,32.2,Felony,No
P129,36,6.8,42.9,Misdemeanor,Yes
P130,31,8.0,21.8,Misdemeanor,No
P131,23,18.4,20.6,Felony,Yes
P132,31,25.2,22.5,Felony,Yes
P133,28,16.4,102.3,Misdemeanor,No
P134,38,26.2,42.1,Felony,No
P135,35,21.7,37.2,Misdemeanor,Yes
P136,40,21.6,13.9,Misdemeanor,No
P137,33,9.1,6.5,Misdemeanor,Yes
P138,38,24.4,16.5,Misdemeanor,No
P139,52,28.7,7.7,Misdemeanor,No
P140,21,34.7,59.7,Felony,Yes
P141,26,25.1,57.1,Misdemeanor,No
P142,38,14.5,40.4,Misdemeanor,No
P143,33,10.8,31.3,Misdemeanor,No
P144,18,31.1,24.7,Misdemeanor,Yes
P145,36,7.4,27.5,Felony,Yes
P146,40,10.4,52.6,Misdemeanor,No
P147,18,5.7,32.0,Felony,No
P148,51,3.1,42.5,Misdemeanor,No
P149,41,14.2,73.2,Felony,No
P150,47,3.3,33.0,Felony,No
P151,18,23.9,167.1,Felony,Yes
P152,56,14.2,34.4,Misdemeanor,No
P153,36,3.7,26.8,Felony,Yes
P154,49,6.1,54.2,Felony,No
P155,36,20.2,5.3,Misdemeanor,No
P156,27,11.4,29.1,Felony,No
P157,35,29.2,29.0,Misdemeanor,Yes
P158,29,51.5,24.7,Misdemeanor,No
P159,35,14.1,27.6,Felony,Yes
P160,29,12.7,32.0,Felony,No
P161,33,26.9,23.6,Misdemeanor,Yes
P162,22,13.4,13.8,Misdemeanor,Yes
P163,18,15.7,57.9,Misdemeanor,No
P164,33,33.8,79.1,Felony,No
P165,29,19.7,43.4,Felony,No
P166,45,31.6,26.5,Felony,Yes
P167,25,40.0,53.2,Misdemeanor,Yes
P168,32,26.6,36.9,Misdemeanor,No
P169,57,24.1,98.2,Misdemeanor,No
P170,65,28.3,83.9,Felony,Yes
P171,34,18.0,12.6,Misdemeanor,No
P172,43,7.9,27.9,Misdemeanor,Yes
P173,56,43.5,99.4,Misdemeanor,Yes
P174,31,10.5,65.7,Misdemeanor,No
P175,22,27.6,62.1,Felony,No
P176,41,23.9,7.6,Felony,Yes
P177,31,13.1,22.5,Misdemeanor,No
P178,28,29.9,49.3,Felony,No
P179,38,23.6,41.5,Misdemeanor,No
P180,31,16.7,47.5,Misdemeanor,No
P181,44,8.9,79.7,Felony,No
P182,40,44.9,34.0,Misdemeanor,Yes
P183,27,8.0,14.6,Misdemeanor,No
P184,18,24.3,70.1,Felony,No
P185,18,37.6,40.9,Felony,No
P186,39,26.0,70.8,Misdemeanor,No
P187,32,12.1,2.9,Misdemeanor,No
P188,46,26.9,94.4,Felony,No
P189,35,5.0,6.6,Felony,No
P190,44,3.2,48.8,Felony,No
P191,21,28.1,52.8,Felony,No
P192,33,14.7,82.2,Misdemeanor,No
P193,38,19.5,28.6,Misdemeanor,No
P194,19,23.9,86.1,Misdemeanor,Yes
P195,60,32.2,17.9,Felony,Yes
P196,34,34.0,41.6,Misdemeanor,No
P197,18,26.5,62.7,Misdemeanor,Yes
P198,40,30.1,16.2,Felony,No
P199,43,32.9,56.7,Misdemeanor,No
P200,40,25.7,30.4,Misdemeanor,No
P201,18,35.0,48.0,Misdemeanor,No
P202,18,11.9,37.5,Misdemeanor,Yes
P203,32,22.6,44.2,Misdemeanor,Yes
P204,33,21.5,43.3,Misdemeanor,No
P205,41,7.1,55.3,Felony,No
P206,38,2.5,38.3,Misdemeanor,No
P207,41,35.9,34.7,Misdemeanor,No
P208,33,3.6,42.4,Misdemeanor,No
P209,39,15.0,75.1,Felony,Yes
P210,34,8.2,6.5,Felony,No
P211,26,21.1,76.0,Misdemeanor,Yes
P212,34,23.3,35.1,Felony,No
P213,27,19.5,20.6,Felony,No
P214,40,17.9,50.4,Misdemeanor,Yes
P215,38,42.5,34.7,Felony,Yes
P216,33,16.3,40.7,Misdemeanor,No
P217,39,8.7,32.2,Misdemeanor,No
P218,45,12.7,33.6,Misdemeanor,Yes
P219,33,31.2,36.5,Misdemeanor,No
P220,18,9.8,15.3,Felony,No
P221,32,10.4,36.3,Felony,Yes
P222,24,15.3,66.9,Misdemeanor,No
P223,31,8.8,70.9,Misdemeanor,Yes
P224,41,71.6,54.1,Felony,No
P225,41,31.2,4.8,Felony,No
P226,41,22.1,81.5,Misdemeanor,Yes
P227,34,16.2,43.1,Misdemeanor,No
P228,41,26.5,8.5,Misdemeanor,Yes
P229,40,46.5,65.6,Felony,No
P230,18,2.9,41.7,Misdemeanor,Yes
P231,49,63.8,33.4,Felony,Yes
P232,19,9.4,17.8,Felony,Yes
P233,27,10.2,26.9,Misdemeanor,No
P234,59,9.2,20.6,Felony,Yes
P235,34,33.3,5.2,Misdemeanor,No
P236,38,35.9,53.5,Felony,No
P237,37,12.0,116.9,Misdemeanor,No
P238,32,8.9,52.8,Felony,No
P239,45,18.8,9.9,Misdemeanor,No
P240,42,35.1,8.3,Misdemeanor,Yes
P241,27,11.4,37.4,Felony,No
P242,48,9.0,82.3,Felony,Yes
P243,39,10.3,36.4,Felony,No
P244,18,14.3,98.5,Misdemeanor,No
P245,31,10.4,22.5,Felony,Yes
P246,47,44.2,35.5,Misdemeanor,No
P247,44,41.1,147.8,Felony,No
P248,35,15.0,20.7,Felony,No
P249,30,41.6,51.9,Misdemeanor,No
P250,20,12.5,47.2,Felony,Yes
P251,31,45.0,9.1,Misdemeanor,No
P252,25,10.4,84.4,Misdemeanor,No
P253,27,20.7,23.8,Felony,No
P254,18,55.9,72.3,Misdemeanor,No
P255,19,7.4,46.0,Misdemeanor,No
P256,18,34.3,116.6,Felony,No
P257,32,12.6,64.0,Misdemeanor,No
P258,32,8.0,18.2,Felony,No
P259,46,24.8,34.7,Felony,No
P260,29,2.0,68.1,Felony,Yes
P261,49,30.2,41.6,Felony,No
P262,27,23.6,30.4,Misdemeanor,No
P263,23,16.4,42.9,Felony,No
P264,40,8.3,14.4,Misdemeanor,Yes
P265,39,19.2,150.1,Misdemeanor,No
P266,18,12.2,5.9,Misdemeanor,Yes
P267,26,17.3,14.3,Misdemeanor,No
P268,48,33.2,79.6,Misdemeanor,Yes
P269,26,10.3,31.3,Misdemeanor,No
P270,48,34.8,3.3,Misdemeanor,No
P271,29,21.7,37.1,Misdemeanor,No
P272,36,14.2,25.9,Misdemeanor,No
P273,35,10.0,4.0,Misdemeanor,No
P274,27,31.9,59.3,Misdemeanor,No
P275,28,14.0,29.1,Misdemeanor,No
P276,32,14.5,45.7,Misdemeanor,Yes
P277,31,8.2,67.8,Misdemeanor,No
P278,35,1.4,65.4,Misdemeanor,Yes
P279,35,11.1,25.2,Felony,Yes
P280,40,9.1,42.8,Felony,Yes
P281,30,21.6,31.6,Felony,Yes
P282,25,24.4,33.5,Felony,No
P283,27,6.8,113.3,Misdemeanor,No
P284,38,19.6,16.0,Misdemeanor,No
P285,36,22.4,39.4,Felony,Yes
P286,33,55.0,59.5,Misdemeanor,No
P287,30,32.7,41.3,Misdemeanor,Yes
P288,18,6.2,20.7,Misdemeanor,No
P289,34,5.6,44.1,Misdemeanor,No
P290,31,28.4,27.5,Felony,No
P291,26,36.6,32.3,Misdemeanor,No
P292,18,17.7,56.3,Felony,No
P293,37,22.0,39.2,Misdemeanor,Yes
P294,27,18.5,58.5,Felony,No
P295,52,31.3,31.4,Misdemeanor,Yes
P296,35,47.7,71.8,Felony,No
P297,27,8.4,28.0,Misdemeanor,No
P298,25,18.1,65.0,Misdemeanor,Yes
P299,30,11.9,35.1,Felony,No
P300,30,8.8,46.7,Misdemeanor,Yes
