Unnamed: 0,id,gender,offense_type,num_prior_arrests,time_served_months
206,91968,Male,Violent,7,19.4
207,47855,Female,Property,3,14.5
208,24609,Male,Property,4,52.0
209,58267,Male,Drug,3,65.0
210,72338,Male,Drug,5,35.6
211,58813,Male,Public Order,7,33.8
212,86990,Male,Public Order,9,78.0
213,88627,Male,Drug,1,18.9
214,41388,Male,Violent,3,16.4
215,16332,Male,Violent,6,63.5
216,86201,Female,Violent,2,13.7
217,83909,Male,Drug,3,4.3
218,65790,Male,Property,3,19.1
219,64815,Male,Property,1,43.6
220,10673,Female,Violent,3,64.5
221,27673,Male,Property,1,25.2
222,71188,Male,Violent,5,76.6
223,69856,Male,Property,4,66.2
224,36233,Female,Drug,1,46.6
225,35854,Male,Drug,9,67.0
226,78746,Female,Violent,3,79.2
227,17102,Male,Drug,4,5.6
228,96200,Male,Drug,2,17.2
229,95278,Male,Drug,6,45.1
230,11761,Male,Violent,4,16.6
231,37250,Male,Drug,6,15.9
232,79960,Male,Public Order,1,66.9
233,98697,Male,Public Order,3,18.3
234,73161,Male,Public Order,5,38.3
235,23343,Female,Property,3,75.8
236,93955,Female,Drug,2,11.5
237,89942,Male,Drug,5,70.9
238,11606,Female,Violent,2,7.0
239,53390,Male,Violent,4,36.3
240,24302,Male,Public Order,2,21.3
241,77146,Male,Public Order,6,48.3
242,71033,Male,Drug,3,28.0
243,19812,Male,Drug,5,81.7
244,87390,Male,Public Order,8,15.4
245,78806,Male,Public Order,3,5.1
246,82041,Male,Drug,6,31.9
247,56338,Male,Property,5,58.6
248,20556,Male,Violent,6,81.2
249,29806,Male,Public Order,2,48.8
250,83690,Female,Drug,3,60.4
251,56128,Male,Property,5,45.9
252,75307,Male,Property,5,49.6
253,38622,Male,Drug,3,59.9
254,37954,Male,Property,1,70.6
255,13301,Male,Property,5,56.4
256,65208,Female,Property,0,32.9
257,61896,Male,Drug,5,8.3
258,11846,Male,Property,3,46.9
259,21275,Male,Public Order,3,44.9
260,70971,Male,Public Order,7,46.4
261,18411,Male,Public Order,5,77.8
262,56970,Male,Violent,5,21.8
263,76736,Male,Property,5,75.1
264,56354,Female,Property,1,49.0
265,28534,Male,Violent,3,68.2
266,17110,Male,Violent,4,34.3
267,82299,Female,Public Order,4,47.3
268,51938,Male,Drug,4,48.6
269,95559,Female,Drug,4,28.7
270,13365,Female,Drug,1,41.7
271,76983,Male,Drug,3,31.3
272,97077,Female,Property,3,62.3
273,22082,Male,Drug,2,54.7
274,66285,Male,Property,4,14.0
275,52480,Female,Violent,3,62.8
276,91622,Male,Property,5,8.0
277,52867,Male,Public Order,2,76.0
278,73520,Male,Public Order,5,37.0
279,61185,Male,Violent,3,20.6
280,28969,Male,Public Order,3,27.5
281,74686,Male,Violent,6,7.5
282,59956,Male,Violent,3,7.1
283,91018,Male,Drug,3,84.1
284,32311,Female,Property,1,40.5
285,74352,Male,Violent,1,45.8
286,83795,Male,Property,5,20.1
287,76843,Male,Property,5,83.9
288,92486,Male,Violent,5,42.7
289,30438,Male,Drug,1,14.9
290,77537,Male,Property,4,22.8
291,39707,Female,Public Order,0,9.1
292,13287,Male,Drug,3,81.9
293,21158,Male,Violent,0,33.3
294,82777,Male,Property,5,23.8
295,37643,Male,Drug,6,32.6
296,91146,Male,Property,2,82.6
297,67435,Female,Drug,2,27.7
298,50702,Male,Property,3,17.1
299,22466,Male,Violent,5,48.1
300,96871,Male,Property,3,48.0
301,75863,Male,Public Order,6,69.7
302,53473,Male,Public Order,9,55.0
303,48460,Male,Property,4,8.5
304,44621,Male,Drug,1,16.1
305,55775,Female,Drug,0,67.4
306,25126,Female,Property,4,47.5
307,15189,Male,Drug,5,68.7
308,23834,Male,Property,6,11.8
309,56987,Male,Property,7,62.0
310,14797,Male,Drug,4,23.7
311,70388,Male,Property,1,73.1
312,20246,Female,Public Order,3,8.8
313,80344,Male,Drug,3,20.3
314,33947,Male,Violent,3,37.5
315,63979,Male,Violent,3,31.6
316,57839,Female,Violent,1,76.5
317,14342,Male,Public Order,2,52.3
318,91106,Male,Property,4,11.3
319,37681,Female,Property,3,77.0
320,56775,Female,Drug,2,77.7
321,68699,Male,Property,3,18.4
322,92761,Male,Violent,4,5.3
323,53535,Male,Drug,7,86.4
324,36817,Male,Property,7,36.0
325,40855,Male,Property,4,75.0
326,26224,Female,Public Order,3,9.0
327,40551,Male,Property,5,35.8
328,10527,Female,Property,3,40.7
329,84685,Male,Property,7,83.7
330,10662,Female,Property,2,50.2
331,75227,Female,Property,2,34.6
332,69055,Male,Drug,2,23.0
333,70042,Male,Property,6,35.3
334,96010,Male,Drug,7,62.6
335,40480,Male,Drug,4,21.1
336,76328,Male,Violent,5,9.3
337,16600,Male,Property,1,6.8
338,38475,Male,Violent,3,40.0
339,32231,Female,Public Order,2,53.4
340,42488,Male,Property,4,59.8
341,65438,Male,Violent,5,63.7
342,35604,Male,Violent,3,53.9
343,54287,Female,Property,3,39.7
344,26006,Male,Drug,4,65.8
345,13801,Male,Drug,3,61.5
346,64614,Male,Property,6,73.4
347,13631,Female,Property,0,17.8
348,48025,Male,Drug,3,72.6
349,97835,Female,Violent,3,82.0
350,74747,Female,Property,2,42.6
351,26647,Male,Drug,2,10.0
352,39531,Male,Violent,5,26.9
353,49727,Male,Property,2,12.7
354,88589,Male,Drug,3,2.7
355,32252,Male,Violent,5,70.1
356,16501,Male,Property,1,56.1
357,13102,Male,Drug,2,22.3
358,21371,Female,Public Order,2,82.7
359,48556,Male,Drug,4,53.2
360,42410,Male,Public Order,2,73.9
361,21079,Male,Public Order,4,19.6
362,30991,Male,Violent,6,50.3
363,30315,Male,Property,2,37.3
364,92215,Female,Property,2,28.6
365,19722,Male,Drug,6,44.1
366,27193,Male,Public Order,4,43.4
367,94845,Male,Property,3,45.3
368,84826,Female,Property,0,56.9
369,96162,Male,Drug,6,16.2
370,61496,Male,Drug,2,40.2
371,44564,Male,Violent,3,68.0
372,93205,Male,Public Order,5,85.9
373,91104,Female,Property,1,38.5
374,51099,Male,Violent,3,34.0
375,51569,Male,Drug,4,30.1
376,97169,Female,Violent,1,70.2
377,21721,Male,Property,3,74.6
378,73092,Male,Drug,1,3.1
379,80618,Male,Public Order,3,39.2
380,72241,Female,Drug,5,51.7
381,46007,Male,Public Order,2,10.7
382,42797,Male,Violent,6,60.1
383,81560,Male,Violent,2,71.9
384,61263,Male,Violent,2,59.1
385,69084,Male,Public Order,5,66.4
386,20074,Female,Property,1,4.8
387,72716,Male,Property,2,63.0
388,22780,Female,Property,2,84.7
389,85720,Male,Violent,1,79.7
390,46903,Male,Violent,4,38.2
391,88141,Female,Property,1,64.2
392,90773,Male,Drug,7,52.7
393,38437,Male,Violent,2,46.3
394,95795,Male,Drug,4,85.6
395,63936,Male,Drug,0,27.2
396,44887,Male,Public Order,4,50.5
397,39781,Female,Drug,1,19.3
398,12037,Female,Property,0,51.8
399,80616,Male,Violent,4,3.2
400,81938,Male,Violent,4,22.6
401,84921,Male,Property,4,50.8
402,47022,Male,Property,1,58.9
403,35196,Male,Drug,5,25.9
404,82348,Male,Property,3,72.4
405,65188,Female,Drug,1,51.0
406,60938,Male,Public Order,2,41.4
407,29459,Female,Drug,1,63.3
408,68063,Male,Property,5,50.7
409,20354,Male,Drug,2,30.4
410,22198,Male,Property,3,75.3
411,32053,Male,Drug,3,35.5
412,36364,Male,Drug,3,69.4
413,58513,Male,Public Order,2,53.7
414,85556,Male,Public Order,3,49.8
415,43414,Male,Violent,2,86.1
416,20869,Male,Violent,4,58.3
417,12945,Male,Public Order,5,5.4
418,58908,Female,Drug,0,67.7
419,16439,Male,Property,3,13.2
420,71928,Male,Property,6,41.5
421,21620,Male,Violent,3,74.1
422,92624,Male,Public Order,4,41.9
423,80273,Female,Public Order,5,62.1
424,67708,Female,Property,3,25.3
425,10742,Male,Violent,4,61.3
426,49797,Male,Public Order,9,26.2
427,27889,Male,Property,3,15.6
428,21682,Male,Drug,2,47.8
429,54849,Male,Property,5,57.6
430,83863,Male,Drug,6,37.7
431,86392,Male,Drug,3,69.6
432,84867,Male,Public Order,7,85.8
433,11872,Male,Public Order,7,25.7
434,65969,Male,Public Order,6,79.0
435,39126,Female,Violent,1,59.3
436,33052,Male,Property,5,44.2
437,30875,Male,Property,3,31.1
438,48287,Male,Drug,8,49.3
439,63509,Male,Property,2,4.4
440,74592,Male,Violent,3,24.7
441,51310,Male,Drug,4,78.7
442,66106,Female,Drug,1,39.9
443,42726,Male,Property,7,40.9
444,32509,Female,Drug,2,9.8
445,95043,Male,Violent,3,79.5
446,47134,Male,Drug,4,55.6
447,16876,Male,Property,4,67.2
448,69989,Female,Violent,4,41.0
449,69279,Male,Drug,5,32.1
450,20955,Male,Property,6,19.9
451,83288,Male,Drug,7,54.9
452,37948,Male,Drug,4,61.0
453,40695,Male,Drug,5,30.9
454,59723,Male,Violent,3,78.5
455,65546,Male,Drug,2,66.5
456,87513,Male,Violent,7,3.4
457,10969,Male,Violent,3,80.0
458,62170,Male,Violent,1,83.2
459,16667,Female,Violent,1,58.4
460,44647,Female,Violent,1,77.3
461,83283,Male,Drug,4,21.0
462,70399,Male,Violent,5,45.4
463,40246,Female,Property,2,68.4
464,28906,Male,Violent,2,73.8
465,93956,Male,Property,5,76.3
466,99305,Male,Public Order,4,29.1
467,66570,Male,Property,3,24.8
468,79823,Male,Property,2,72.1
469,95838,Male,Violent,3,83.6
470,74066,Female,Property,1,44.4
471,48268,Male,Drug,5,12.2
472,76148,Male,Drug,2,25.0
473,69493,Female,Violent,2,21.5
474,40503,Female,Drug,3,4.6
475,52841,Male,Property,3,36.7
476,68454,Male,Property,4,6.4
477,46516,Male,Property,6,11.7
478,80359,Female,Drug,1,34.1
479,49738,Male,Violent,4,32.3
480,72024,Female,Property,3,61.1
481,64221,Male,Drug,2,43.7
482,18560,Male,Property,10,31.8
483,74764,Female,Drug,5,73.3
484,56599,Male,Violent,4,56.2
485,35355,Female,Drug,0,38.8
486,34055,Male,Property,4,68.9
487,24129,Female,Public Order,0,19.8
488,46996,Male,Property,8,6.1
489,34246,Male,Property,0,29.7
490,65662,Male,Public Order,4,11.0
491,27160,Female,Violent,3,50.0
492,23072,Male,Property,2,67.9
493,27769,Female,Violent,1,20.8
494,77940,Male,Public Order,4,8.6
495,36556,Male,Property,3,2.4
496,71023,Male,Property,5,70.7
497,23595,Female,Drug,2,65.7
498,31726,Male,Property,5,55.9
499,71197,Male,Drug,3,42.2
500,34798,Male,Property,2,14.7
